date,revenue,facebook_spend,facebook_impressions,facebook_cpm,facebook_revenue,google_spend,google_impressions,google_cpm,google_revenue,tiktok_spend,tiktok_impressions,tiktok_cpm,tiktok_revenue,pinterest_spend,pinterest_impressions,pinterest_cpm,pinterest_revenue,email_spend,email_impressions,email_cpm,email_revenue,is_preflight,promo,new_year_sale,new_year_sale_revenue,summer_sale,summer_sale_revenue,black_friday,black_friday_revenue,seasonality_revenue,total_revenue
2023-11-02,1064.11917630557,1205.9708286824732,111438.12482208255,10.821887308386387,840.4782455621863,1591.7467999933633,147177.25852009744,10.815168158442127,1524.1610568837862,893.4147943425487,147830.67731903002,6.04350064915478,609.9478194866034,334.8943671620859,65097.20532892103,5.144527564124184,108.98412750480098,288.42484246057825,119877.39068309951,2.405998669282354,702.2254964026159,True,0,0,0.0,0,0.0,0,0.0,-12.08017974371304,4837.8357424018495
2023-11-03,966.2993051829772,866.6543007945224,85418.25920498022,10.146007526503105,1405.474674928792,1089.5301850678154,103977.19330111665,10.478549674951791,2403.6423948545607,234.01272997718354,38958.56219306898,6.0067085848156925,644.8585229262892,573.0301587073403,108481.3206202986,5.2822933518023305,283.3025244177794,243.69243958930122,103729.93101865418,2.349297229798379,1104.1842780953996,True,0,0,0.0,0,0.0,0,0.0,-2.372276187228619,6805.389424218569
2023-11-04,1011.9711897590275,1077.1696324724915,101816.3476436778,10.57953518665013,2040.8814465168816,1603.8866508543888,148182.27076567072,10.823741886036476,3627.061159212466,1179.309619591274,194478.94137232236,6.063945079449665,1314.2426150775095,416.6061229928311,80268.49512511508,5.190157387944849,398.7141266767329,265.78478399227237,111783.38808498665,2.37767693881493,1435.588117642531,True,0,0,0.0,0,0.0,0,0.0,6.342021799986542,9834.800676685134
2023-11-05,1012.366257742982,1078.5530749585268,101921.17270787987,10.58222787575069,2617.174997813447,1394.720948431628,130609.62398470173,10.67854654106493,4510.1275154958785,605.0052939090581,100411.1175716849,6.025281946265924,1457.4102696654843,584.1772555144344,110450.54668104355,5.289039059276071,556.9270017400199,331.8448227801396,134994.97894918054,2.4582012261734865,1805.8963711374597,True,0,0,0.0,0,0.0,0,0.0,14.982163001406567,11974.884576596678
2023-11-06,1032.7333140597923,1063.3699928243018,100768.84414965936,10.55256713320053,3130.4467196627847,1794.8954593776148,163758.2482204892,10.960641548637671,5622.1670881727505,624.908814129726,103694.37023185895,6.026448810407353,1584.5891783529742,431.6570242101048,83030.45785057357,5.198779283945896,658.6388008406684,323.93778198147055,132278.98183225415,2.448898362343483,2051.8339055557785,True,0,0,0.0,0,0.0,0,0.0,23.885205842182565,14104.29421248693
2023-11-07,1025.9705817517706,718.3303797438277,73215.50919109958,9.811177818471709,3387.518867763035,1672.9346885015102,153864.03707830695,10.872811608667812,6487.789759855406,605.8972243901264,100558.28145497153,6.025333922014548,1672.5916757695375,654.3352826384888,122720.6441834722,5.331908799795996,819.9875911316601,302.63114634866685,124879.70739313637,2.42338128961135,2182.3940577441253,True,0,0,0.0,0,0.0,0,0.0,32.05329880423177,15608.305832819766
2023-11-08,1117.2400697531773,726.222386378642,73881.05830451607,9.82961537157963,3625.3748382538115,1413.6303763457456,132220.82324449465,10.691435294815452,7017.221917150755,1033.0251479927022,170657.15495342307,6.053219088731689,2031.666518893732,383.4809137829072,74154.08854014403,5.1714062074312475,889.2224120478372,284.2127437178185,118383.13537266418,2.400787433304001,2236.657988902663,True,0,0,0.0,0,0.0,0,0.0,43.71724281737033,16961.100987819344
2023-11-09,1039.9457824891408,998.8658531215364,95824.99398996044,10.42385510847188,4006.310127257941,1525.642799651119,141672.73261024815,10.768782189359417,7576.0029273651335,663.2452201294365,110013.95961633621,6.028736920682107,2066.451224735373,555.8622039717598,105437.81204647926,5.271943652688124,1006.1952185459963,296.56369711862726,122750.19715057343,2.41599365217184,2300.6100382164855,True,0,0,0.0,0,0.0,0,0.0,48.650481875344425,18044.165800485414
2023-11-10,1111.2690965012662,732.8498804647428,74438.45026962654,9.845044836509322,4190.032634981164,1599.8897263084518,147851.58134276938,10.820917245378476,8126.437929598705,938.5822443172294,155225.14827563512,6.046586231314644,2280.600752859026,432.97001130636943,83270.92150744298,5.199534284818373,1078.223447463172,334.5229180693978,135911.34379612326,2.4613318412273673,2422.927178042885,True,0,0,0.0,0,0.0,0,0.0,60.21926487669079,19269.71030432291
2023-11-11,1119.222938177517,745.0473376728214,75460.72321798219,9.873312975289343,4364.144549699445,1370.4342539018314,128533.6178639997,10.662068622015106,8405.56347160362,831.9701268432657,137757.13471325662,6.039397731195724,2378.49850576959,374.36074247512624,72462.04049245747,5.1663014170032,1127.3322007046581,293.7927771441175,121774.25132995647,2.4126017933632284,2426.6052867278954,True,0,0,0.0,0,0.0,0,0.0,68.65974805561547,19890.02670073834
